Time,Time_ubisense,txeui,seq,X,Y,Z
1510937287.145,1510937287.9985628128,1,209476,0.570,-0.765,0.500,
1510937287.176,1510937288.0235638618,1,209477,0.569,-0.739,0.500,
1510937287.196,1510937288.0485656261,1,209478,0.567,-0.720,0.500,
1510937287.226,1510937288.0735669136,1,209479,0.570,-0.692,0.500,
1510937287.246,1510937288.0975682735,1,209480,0.572,-0.671,0.500,
1510937287.276,1510937288.1235697269,1,209481,0.579,-0.651,0.500,
1510937287.296,1510937288.1485710144,1,209482,0.592,-0.633,0.500,
1510937287.327,1510937288.1745727062,1,209483,0.605,-0.609,0.500,
1510937287.346,1510937288.1995742321,1,209484,0.575,-0.573,0.500,
1510937287.377,1510937288.2235755920,1,209485,0.578,-0.560,0.500,
1510937287.397,1510937288.2495770454,1,209486,0.577,-0.546,0.500,
1510937287.428,1510937288.2735784054,1,209487,0.581,-0.529,0.500,
1510937287.447,1510937288.2985796928,1,209488,0.593,-0.522,0.500,
1510937287.477,1510937288.3235812187,1,209489,0.620,-0.503,0.500,
1510937287.497,1510937288.3475825787,1,209490,0.631,-0.477,0.500,
1510937287.527,1510937288.3735840321,1,209491,0.647,-0.469,0.500,
1510937287.547,1510937288.3995854855,1,209492,0.663,-0.456,0.500,
1510937287.577,1510937288.4245872498,1,209493,0.658,-0.404,0.500,
1510937287.597,1510937288.4485883713,1,209494,0.641,-0.331,0.500,
1510937287.627,1510937288.4745898247,1,209495,0.646,-0.335,0.494,
1510937287.647,1510937288.4985911846,1,209496,0.652,-0.333,0.496,
1510937287.678,1510937288.5235927105,1,209497,0.654,-0.323,0.499,
1510937287.707,1510937288.5485939980,1,209498,0.649,-0.307,0.500,
1510937287.727,1510937288.5735955238,1,209499,0.641,-0.296,0.500,
1510937287.747,1510937288.5975966454,1,209500,0.641,-0.287,0.500,
1510937287.777,1510937288.6225984097,1,209501,0.642,-0.273,0.500,
1510937287.797,1510937288.6475996971,1,209502,0.642,-0.273,0.500,
1510937287.827,1510937288.6736011505,1,209503,0.638,-0.263,0.500,
1510937287.847,1510937288.6976027489,1,209504,0.631,-0.256,0.500,
1510937287.877,1510937288.7236042023,1,209505,0.624,-0.251,0.500,
1510937287.897,1510937288.7476055622,1,209506,0.594,-0.253,0.500,
1510937287.928,1510937288.7726068497,1,209507,0.594,-0.252,0.500,
1510937287.947,1510937288.7936081886,1,209508,0.594,-0.247,0.500,
1510937287.957,1510937288.7956082821,1,209509,0.594,-0.251,0.499,
1510937287.977,1510937288.8276100159,1,209510,0.594,-0.261,0.498,
1510937288.010,1510937288.8536114693,1,209511,0.590,-0.255,0.499,
1510937288.029,1510937288.8786129951,1,209512,0.587,-0.265,0.498,
1510937288.059,1510937288.9036142826,1,209513,0.575,-0.274,0.499,
1510937288.079,1510937288.9286160469,1,209514,0.575,-0.273,0.499,
1510937288.100,1510937288.9536170959,1,209515,0.579,-0.285,0.499,
1510937288.129,1510937288.9786186218,1,209516,0.601,-0.290,0.498,
1510937288.159,1510937289.0036201477,1,209517,0.605,-0.300,0.499,
1510937288.179,1510937289.0286214352,1,209518,0.614,-0.314,0.500,
1510937288.219,1510937289.0536229610,1,209519,0.617,-0.329,0.500,
1510937288.229,1510937289.0786242485,1,209520,0.629,-0.327,0.499,
1510937288.249,1510937289.1036260128,1,209521,0.672,-0.327,0.500,
1510937288.279,1510937289.1286270618,1,209522,0.686,-0.332,0.500,
1510937288.300,1510937289.1546287537,1,209523,0.696,-0.330,0.500,
1510937288.329,1510937289.1776299477,1,209524,0.726,-0.346,0.500,
1510937288.350,1510937289.2036316395,1,209525,0.741,-0.334,0.500,
1510937288.379,1510937289.2286329269,1,209526,0.769,-0.346,0.500,
1510937288.409,1510937289.2536342144,1,209527,0.777,-0.334,0.500,
1510937288.429,1510937289.2786359787,1,209528,0.792,-0.333,0.500,
1510937288.449,1510937289.3026371002,1,209529,0.797,-0.334,0.500,
1510937288.479,1510937289.3286387920,1,209530,0.809,-0.333,0.500,
1510937288.509,1510937289.3526399136,1,209531,0.816,-0.329,0.500,
1510937288.530,1510937289.3786416054,1,209532,0.842,-0.338,0.500,
1510937288.549,1510937289.4026429653,1,209533,0.848,-0.335,0.500,
1510937288.579,1510937289.4286444187,1,209534,0.876,-0.326,0.500,
1510937288.629,1510937289.4786472321,1,209535,0.893,-0.326,0.500,
1510937288.659,1510937289.5046486855,1,209536,0.909,-0.339,0.500,
1510937288.679,1510937289.5276498795,1,209537,0.939,-0.350,0.500,
